element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ti,3,"=""461.5931""","=""""","=""9""","=""""",,"=""148111.10""","=""169769.13""","=""3p6.3d.5p""","=""3F*""","=""3""","=""3p6.3d.5d""","=""3F""","=""3""",,"=""""","=""L3593""",
Tm,2,"=""461.594""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
In,2,"=""461.6083""","=""0.0017""","=""540""","=""""",,"=""123642.95""","=""145300.34""","=""5s.4f""","=""3F*""","=""2""","=""5s<1/2,F=4>.8g""","=""""","=""""",,"=""""","=""L3548c128""",
Ne,2,"=""461.60911""","=""0.00011""","=""180""","=""""",,"=""281332.521""","=""302989.805""","=""2s2.2p4.(3P).3d""","=""2P""","=""1/2""","=""2s2.2p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L5951""",
W,2,"=""461.60914""","=""""","=""1""","=""""",,"=""30618.045""","=""52275.291""","=""""","=""""","=""5/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
Cr,1,"=""461.61240""","=""0.00005""","=""1360""","=""4.1e+06""",B,"=""7927.4410""","=""29584.5708""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""2""",,"=""T4624,T4913""","=""L14866""",
Cs,2,"=""461.61691""","=""0.00004""","=""420000""","=""""",,"=""122875.4487""","=""144532.3662""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""0""",,"=""""","=""L12126""",
Nb,1,"=""461.617""","=""""","=""170""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Co,2,"=""461.6282""","=""0.0025""","=""70""","=""2.2e+05""",E,"=""42008.63""","=""63665.192""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""z 5P*""","=""1""",,"=""T6999""","=""L4687c119""",
Ne,2,"=""461.630""","=""0.004""","=""12w""","=""""",,"=""281332.521""","=""302988.859""","=""2s2.2p4.(3P).3d""","=""2P""","=""1/2""","=""2s2.2p4.(3P<2>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L1406""",
Ir,1,"=""461.639""","=""""","=""75""","=""""",,"=""12218.47""","=""33874.43""","=""5d8.(3F).6s""","=""a 2F""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""7/2""",,"=""""","=""L3475""",
