element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""398.43762""","=""0.00013""","=""398.437473""","=""0.000021""","=""5""","=""""",,"=""20523.8999""","=""45614.8444""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4G).4p""","=""y 5H*""","=""4""",,"=""""","=""L14866""",
Rh,1,"=""398.440""","=""""","=""398.4393""","=""""","=""240""","=""1.09e+07""",B+,"=""10313.41""","=""35404.24""","=""4d8.(3P).5s""","=""a 4P""","=""3/2""","=""4d8.(3P).5p""","=""z 4P*""","=""3/2""",,"=""T5181""","=""L3475""",
V,1,"=""398.45865""","=""0.00015""","=""398.45865""","=""0.00008""","=""340000""","=""1.35e+07""",B+,"=""14949.359""","=""40038.970""","=""3d4.(3H).4s""","=""a 4H""","=""9/2""","=""3d4.(3H).4p""","=""u 4G*""","=""9/2""",,"=""T9399""","=""L15916""",
Sn,2,"=""398.46""","=""0.04""","=""398.45""","=""0.05""","=""190*""","=""2.4e+06""",D+,"=""89288.255""","=""114378.1""","=""5s2.4f""","=""2F*""","=""7/2""","=""5s2.11g""","=""2G""","=""9/2""",,"=""T9352""","=""L3368""",
Sn,2,"=""398.46""","=""0.04""","=""398.45""","=""0.05""","=""190*""","=""8.e+04""",E,"=""89288.255""","=""114378.1""","=""5s2.4f""","=""2F*""","=""7/2""","=""5s2.11g""","=""2G""","=""7/2""",,"=""T9352""","=""L3368""",
Th,2,"=""398.46200""","=""0.00022""","=""398.462053""","=""0.000014""","=""130""","=""""",,"=""22642.10563""","=""47731.5024""","=""5f.6d.(1H*).7s""","=""*""","=""9/2""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""",,"=""""","=""L2372""",
W,1,"=""398.4634""","=""""","=""398.4630""","=""0.0011""","=""2""","=""""",,"=""23982.80""","=""49072.14""","=""5d5.(4D).6s""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
Cr,1,"=""398.465""","=""0.003""","=""398.4622""","=""0.0006""","=""1""","=""""",,"=""33113.212""","=""58202.60""","=""3d5.(2F1).4s""","=""b 3F""","=""4""","=""3d5.(2F1).4p""","=""s 3F*""","=""3""",,"=""""","=""L808""",
Ce,2,"=""398.468""","=""""","=""398.46715+""","=""""","=""770""","=""3.47e+07""",B,"=""7713.089""","=""32802.165""","=""4f.(2F*).5d2.(1G)""","=""*""","=""9/2""","=""4f.5d.(3H*).6p""","=""2I""","=""11/2""",,"=""T8629""","=""L3475""",
W,1,"=""398.4757""","=""""","=""398.4734""","=""0.0011""","=""1""","=""""",,"=""24610.88""","=""49699.56""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Fe,3,"=""398.4812""","=""0.0017""","=""398.4820""","=""0.0010""","=""160h""","=""1.8e+07""",D+,"=""201293.91""","=""226382.05""","=""3d5.(4P).5p""","=""5S*""","=""2""","=""3d5.(4P).6s""","=""5P""","=""3""",,"=""u44""","=""L1171""",
Ru,1,"=""398.486""","=""""","=""398.4858+""","=""""","=""870""","=""""",,"=""8084.12""","=""33172.02""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 3F*""","=""2""",,"=""""","=""L3475""",
Th,1,"=""398.48794""","=""0.00003""","=""398.487967""","=""0.000010""","=""500""","=""""",,"=""13297.43316""","=""38385.1984""","=""6d3.(2G).7s""","=""3G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L5951""",
