element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Hf,1,"=""371.2642""","=""0.0004""","=""300""","=""""",,"=""22450.5521""","=""49377.892""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""2""","=""""","=""4938""","=""1 or 2""",,"=""""","=""L16323""",
Gd,2,"=""371.270""","=""""","=""2700""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Kr,8,"=""371.27""","=""""","=""""","=""""",,"=""840751.""","=""867678.""","=""3d10.7d""","=""2D""","=""5/2""","=""3d10.7f""","=""2F*""","=""7/2""",,"=""""","=""L11307""",
O,2,"=""371.2741""","=""""","=""25""","=""2.75e+07""",B,"=""185235.281""","=""212161.881""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",,"=""T6172,T6632""","=""L10621""",
Sm,2,"=""371.276""","=""""","=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ar,3,"=""371.2764""","=""0.0020""","=""10""","=""""",,"=""200317.933""","=""227244.1715""","=""3s2.3p3.(2P*).3d""","=""1F*""","=""3""","=""3s2.3p3.(2D*).4p""","=""1F""","=""3""",,"=""""","=""L9366""",
Tc,1,"=""371.2819""","=""""","=""300""","=""""",,"=""15770.42""","=""42696.45""","=""4d6.(3F2).5s""","=""4F""","=""3/2""","=""4d6.(3G).5p""","=""4G*""","=""5/2""",,"=""""","=""L149""",
Ho,1,"=""371.288""","=""""","=""430""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Cr,2,"=""371.288722""","=""0.000019""","=""37""","=""""",,"=""21823.7200""","=""48749.2779""","=""3d5""","=""a 4P""","=""1/2""","=""3d4.(5D).4p""","=""z 4P*""","=""1/2""",,"=""""","=""L18847""",
Bk,1,"=""371.293""","=""""","=""10000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4703""",
