element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ba,1,"=""578.4042""","=""""","=""578.4043+""","=""""","=""5""","=""2.1e+07""",C,"=""18060.261""","=""35344.413""","=""6s.6p""","=""1P*""","=""1""","=""6p2""","=""3P""","=""2""",,"=""T5429""","=""L9224""",
Ba,2,"=""578.418""","=""""","=""578.4151+""","=""""","=""""","=""1.59e+07""",B,"=""49389.822""","=""66673.651""","=""7p""","=""2P*""","=""1/2""","=""8d""","=""2D""","=""3/2""",,"=""T3225,T7387""","=""L6094""",
Th,1,"=""578.4216""","=""0.0003""","=""578.42164""","=""0.00003""","=""13""","=""""",,"=""22396.82500""","=""39680.4585""","=""""","=""*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L12239""",
C,1,"=""""","=""""","=""578.43""","=""0.06""","=""""","=""1.4e+05""",D,"=""71364.93596""","=""88648.4""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""",,"=""T5520LS""","=""""",
V,1,"=""578.4375""","=""0.0003""","=""578.43762""","=""0.00008""","=""160000""","=""2.7e+07""",C,"=""22313.832""","=""39596.988""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4G*""","=""11/2""","=""3d3.4s.(5F).5s""","=""f 4F""","=""9/2""",,"=""u38""","=""L15916""",
Th,2,"=""578.4385""","=""0.0004""","=""578.437717""","=""0.000010""","=""10""","=""""",,"=""15453.03596""","=""32736.1892""","=""5f.6d.(3D*).7s""","=""4D*""","=""7/2""","=""5f.6d.(3H*).7p""","=""""","=""7/2""",,"=""""","=""L12239""",
Np,1,"=""578.439""","=""""","=""""","=""""","=""300l""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3793""",
Fe,2,"=""578.44454""","=""0.00003""","=""578.44455""","=""0.00003""","=""800""","=""3.48e+07""",B+,"=""86599.791""","=""103882.740""","=""3d6.(5D).4d""","=""e 4F""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Tm,2,"=""578.446""","=""""","=""""","=""""","=""22""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Fe,1,"=""578.46580""","=""0.00010""","=""578.46577""","=""0.00005""","=""95""","=""6.50e+04""",C+,"=""27394.691""","=""44677.006""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""",,"=""T5783""","=""L11631""",
Er,1,"=""578.466""","=""""","=""""","=""""","=""70""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Hf,1,"=""578.4750""","=""0.0019""","=""""","=""""","=""23h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
N,4,"=""""","=""""","=""578.476""","=""""","=""""","=""5.51e+06""",B,"=""494309.2""","=""511591.2""","=""1s2.2p.(2P*).3p""","=""3P""","=""1""","=""1s2.2p.(2P*<3/2>).3d""","=""3P*""","=""0""",,"=""T5633LS""","=""""",
Mn,1,"=""""","=""""","=""578.476""","=""""","=""""","=""3.1e-01""",E,"=""0.00""","=""17282.00""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""",E2,"=""T2149""","=""""",
W,1,"=""578.476""","=""""","=""578.478""","=""0.003""","=""3""","=""""",,"=""32135.94""","=""49417.90""","=""5d5.(4G).6s""","=""3G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
C,1,"=""""","=""""","=""578.478""","=""0.005""","=""""","=""3.4e+04""",D,"=""71364.93596""","=""88646.9""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""T5520LS""","=""""",
Th,2,"=""578.48624""","=""0.00006""","=""578.486267""","=""0.000010""","=""130""","=""""",,"=""17272.25153""","=""34553.9543""","=""5f.6d.(3G*).7s""","=""2G*""","=""9/2""","=""5f.7s.(3F*).7p""","=""""","=""9/2""",,"=""""","=""L5951""",
Kr,8,"=""578.49""","=""""","=""578.5""","=""0.5""","=""""","=""""",,"=""867678.""","=""884960.""","=""3d10.7f""","=""2F*""","=""7/2""","=""3d10.8d""","=""2D""","=""5/2""",,"=""""","=""L11796""",
Th,1,"=""578.49238""","=""0.00023""","=""578.492098""","=""0.000003""","=""35""","=""""",,"=""7280.123222""","=""24561.65178""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L12239""",
Nd,1,"=""578.496""","=""""","=""""","=""""","=""45""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Cr,1,"=""578.49694""","=""0.00007""","=""578.496971""","=""0.000024""","=""85""","=""1.19e+07""",B,"=""26787.4640""","=""44068.8470""","=""3d5.(6S).4p""","=""z 5P*""","=""3""","=""3d5.(6S).4d""","=""e 5D""","=""3""",,"=""u10""","=""L14866""",
Fe,2,"=""578.4979""","=""0.0002""","=""578.49741""","=""0.00003""","=""40""","=""1.3e+05""",D,"=""62158.126""","=""79439.496""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""","=""3d6.(5D).5s""","=""e 4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Th,1,"=""578.51224""","=""0.00023""","=""578.512346""","=""0.000014""","=""40""","=""""",,"=""17959.89498""","=""35240.8187""","=""6d3.(4F).7s""","=""3F""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L12239""",
Fe,1,"=""578.5171""","=""0.0003""","=""578.51676""","=""0.00005""","=""1""","=""""",,"=""29320.026""","=""46600.818""","=""3d6.4s2""","=""b 3D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 3S*""","=""1""",,"=""""","=""L11631""",
Tb,2,"=""578.518""","=""""","=""""","=""""","=""24""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Pr,2,"=""578.528""","=""""","=""578.542+""","=""""","=""65ci""","=""""",,"=""10729.75""","=""28009.80""","=""4f3.(4I*).5d""","=""5H*""","=""6""","=""4f3.(4I*).6p?""","=""""","=""7""",,"=""""","=""L3475""",
Mg,1,"=""578.5312""","=""""","=""578.5313""","=""""","=""5""","=""""",,"=""41197.403""","=""58477.760""","=""3s.4s""","=""3S""","=""1""","=""3s.7p""","=""3P*""","=""2""",,"=""""","=""L6095""",
Th,2,"=""578.5498""","=""0.0005""","=""578.55098""","=""0.00006""","=""35""","=""""",,"=""42336.8299""","=""59616.5996""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""","=""""","=""*""","=""3/2""",,"=""""","=""L2372""",
Fe,1,"=""578.5520""","=""0.0005""","=""578.55184""","=""0.00011""","=""2""","=""""",,"=""42815.855""","=""60095.599""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""5""","=""3d6.(3F2).4s.4p.(1P*)""","=""3F*""","=""4""",,"=""""","=""L11631""",
Mg,1,"=""578.5560""","=""""","=""578.5561""","=""""","=""4""","=""""",,"=""41197.403""","=""58477.020""","=""3s.4s""","=""3S""","=""1""","=""3s.7p""","=""3P*""","=""1""",,"=""""","=""L6095""",
Ti,1,"=""578.5652""","=""0.0004""","=""578.56534""","=""0.00013""","=""10""","=""""",,"=""26564.400""","=""43843.741""","=""3d3.(4F).4p""","=""y 5G*""","=""3""","=""3d3.(4F).4d""","=""f 5H""","=""3""",,"=""""","=""L10989""",
Fe,1,"=""578.56577""","=""0.00010""","=""578.56570""","=""0.00014""","=""14""","=""""",,"=""40231.336""","=""57510.666""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d7.(4F).6s""","=""5F""","=""3""",,"=""""","=""L11631""",
Fe,3,"=""578.5667""","=""0.0020""","=""578.5670""","=""0.0017""","=""100""","=""""",,"=""185003.52""","=""202282.81""","=""3d5.(4P).5s""","=""5P""","=""2""","=""3d5.(4P).5p""","=""5P*""","=""2""",,"=""""","=""L1171""",
Si,2,"=""578.573""","=""""","=""""","=""""","=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
Cr,1,"=""578.57351""","=""0.00007""","=""578.57353""","=""0.00003""","=""62""","=""""",,"=""26801.9009""","=""44080.9973""","=""3d5.(6S).4p""","=""z 5P*""","=""1""","=""3d5.(6S).4d""","=""e 5D""","=""2""",,"=""""","=""L14866""",
Th,1,"=""578.5866""","=""0.0003""","=""578.586550""","=""0.000017""","=""18""","=""""",,"=""21165.098037""","=""38443.8055""","=""5f.6d.7s2""","=""3D*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L12239""",
Cr,1,"=""578.592""","=""0.004""","=""578.59159""","=""0.00006""","=""10*""","=""""",,"=""7927.4410""","=""25205.9980""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""",,"=""""","=""L808""",
