element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,2,"=""435.5911""","=""0.0003""","=""435.591322""","=""0.000012""","=""16""","=""""",,"=""17460.62698""","=""40411.4746""","=""5f.6d.(3P*).7s""","=""4P*""","=""5/2""","=""5f.6d.(1D*).7p""","=""""","=""7/2""",,"=""""","=""L2372""",
V,1,"=""435.59426""","=""0.00018""","=""435.59429""","=""0.00003""","=""1000000""","=""1.03e+06""",B+,"=""137.383""","=""23088.074""","=""3d3.4s2""","=""a 4F""","=""5/2""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4F*""","=""3/2""",,"=""T9399""","=""L15916""",
Th,1,"=""435.604445""","=""0.000023""","=""435.604443""","=""0.000004""","=""300""","=""""",,"=""5563.141519""","=""28513.29787""","=""6d3.(4F).7s""","=""5F""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Tb,1,"=""435.609""","=""""","=""""","=""""","=""280""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Fe,2,"=""""","=""""","=""435.61499""","=""0.00003""","=""""","=""1.19e-02""",E,"=""2837.9807""","=""25787.5816""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(3P2).4s""","=""b 2P""","=""3/2""",E2,"=""T9588c100""","=""""",
Xe,4,"=""435.626""","=""0.001""","=""435.64+""","=""""","=""15""","=""""",,"=""177951.1""","=""200899.4""","=""5s.5p4""","=""2P""","=""1/2""","=""5s2.5p2.(3P).6p""","=""4P*""","=""1/2""",,"=""""","=""L11502""",
N,1,"=""""","=""""","=""435.629""","=""""","=""""","=""5.10e+06""",C+,"=""96864.050""","=""119812.9""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2F""","=""7/2""",,"=""T5714""","=""""",
Hf,1,"=""435.6306""","=""0.0007""","=""435.630591""","=""0.000019""","=""12000""","=""2.1e+06""",C+,"=""4567.6413""","=""27516.4201""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""4""",,"=""T5346""","=""L21976,L16323""",
Fe,2,"=""435.6516""","=""0.0004""","=""435.650843""","=""0.000021""","=""60""","=""""",,"=""80178.005""","=""103125.717""","=""3d6.(5D).5s""","=""e 4D""","=""3/2""","=""3d6.(5D<4>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L18349c139""",
Th,1,"=""435.65481""","=""0.00008""","=""435.65483""","=""0.00003""","=""17""","=""""",,"=""21890.13254""","=""44837.6347""","=""""","=""*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Cr,1,"=""435.656""","=""0.003""","=""435.65888""","=""0.00009""","=""3""","=""""",,"=""25038.4981""","=""47985.787""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d5.(4G).4p""","=""u 5F*""","=""5""",,"=""""","=""L808""",
Mn,2,"=""435.66286""","=""0.00009""","=""435.66286""","=""0.00008""","=""80""","=""""",,"=""43696.217""","=""66643.296""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d5.(4G).4p""","=""z 5F*""","=""4""",,"=""""","=""L11924,L562""",
Ho,2,"=""435.673""","=""""","=""""","=""""","=""290""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Cr,1,"=""435.67554""","=""0.00007""","=""435.67554""","=""0.00003""","=""18""","=""2.2e+06""",D,"=""24282.3486""","=""47228.7599""","=""3d5.(4D).4s""","=""b 5D""","=""4""","=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""5""",,"=""T3963""","=""L14866""",
V,1,"=""435.6784""","=""0.0004""","=""435.67830""","=""0.00004""","=""41000""","=""""",,"=""17054.924""","=""40001.190""","=""3d4.(3G).4s""","=""a 4G""","=""5/2""","=""3d4.(3H).4p""","=""u 4G*""","=""7/2""",,"=""""","=""L15916""",
O,3,"=""""","=""""","=""435.6794""","=""""","=""""","=""1.00e+07""",C+,"=""327352.17""","=""350298.38""","=""2s2.2p.(2P*).3d""","=""3D*""","=""3""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",,"=""T5376LS""","=""""",
Tb,1,"=""435.681""","=""""","=""435.6833+""","=""""","=""870""","=""""",,"=""2771.675""","=""25717.68""","=""4f9.6s2""","=""6H*""","=""13/2""","=""4f9.(6H*<13/2>).6s.6p.(1P*<1>)""","=""(13/2,1)""","=""13/2""",,"=""""","=""L3475""",
Th,1,"=""435.68350""","=""0.00019""","=""435.683657""","=""0.000015""","=""11""","=""""",,"=""18809.88631""","=""41755.8700""","=""6d2.7s.7p""","=""5G*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L3552""",
Si,3,"=""""","=""""","=""435.6851""","=""""","=""""","=""1.77e+07""",C,"=""226820.28""","=""249766.19""","=""3p.4s""","=""3P*""","=""2""","=""3s.8s""","=""3S""","=""1""",,"=""T6298c4,LS""","=""""",
Sc,1,"=""435.6854""","=""0.0009""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4189c12""",
